number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_data_per_groups,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.944795543302313,2024-02-18 18:00:58.824149,2024-02-18 18:04:39.118412,0 days 00:03:40.294263,0.5,0.02,20,235,83,828,0.0012589500240976711,0.01921399974646431,1.0,COMPLETE
1,0.951810547580489,2024-02-18 18:04:39.120150,2024-02-18 18:07:42.453142,0 days 00:03:03.332992,0.8,0.017,20,289,8,226,0.019308188037598584,6.140034108805088,0.8,COMPLETE
2,0.9420325964234061,2024-02-18 18:07:42.454182,2024-02-18 18:10:33.130017,0 days 00:02:50.675835,0.7,0.02,10,261,27,216,3.2503827748610346,0.004752444374364695,0.4,COMPLETE
3,1.0007153638173059,2024-02-18 18:10:33.131960,2024-02-18 18:24:15.309539,0 days 00:13:42.177579,0.3,0.006,20,271,32,196,0.06382700683707862,0.8903256009821333,0.5,COMPLETE
4,0.9907966222358737,2024-02-18 18:24:15.310601,2024-02-18 18:39:16.093824,0 days 00:15:00.783223,0.3,0.008,100,153,13,544,6.646289684483956,0.1836999419577449,0.8,COMPLETE
5,0.9964593224893901,2024-02-18 18:39:16.095394,2024-02-18 18:48:46.750622,0 days 00:09:30.655228,0.3,0.01,20,153,49,331,0.9359359228146168,0.016052000500771046,1.0,COMPLETE
6,0.8910503824504638,2024-02-18 18:48:46.751822,2024-02-18 18:55:19.729092,0 days 00:06:32.977270,0.8,0.006,10,33,67,542,0.04379882944485428,0.024561642810262914,1.0,COMPLETE
7,0.9041466620977425,2024-02-18 18:55:19.730393,2024-02-18 18:58:52.234576,0 days 00:03:32.504183,0.9,0.01,100,140,29,824,0.0018513663558867755,0.031450216390705096,0.8,COMPLETE
8,0.919729582377983,2024-02-18 18:58:52.235765,2024-02-18 19:04:07.652585,0 days 00:05:15.416820,0.4,0.01,10,60,54,750,0.0334367507555372,0.13925163114992037,0.8,COMPLETE
9,0.9543939098602828,2024-02-18 19:04:07.653743,2024-02-18 19:09:00.029406,0 days 00:04:52.375663,0.4,0.014,100,266,87,825,1.275032365668256,1.4835918593534017,0.8,COMPLETE
10,0.9176596175074903,2024-02-18 19:09:00.030570,2024-02-18 19:20:12.736815,0 days 00:11:12.706245,0.6,0.006,10,18,99,450,0.27498316905005915,0.001037547669931597,0.6,COMPLETE
11,0.8958053916039489,2024-02-18 19:20:12.738450,2024-02-18 19:24:02.399072,0 days 00:03:49.660622,0.9,0.01,100,82,62,966,0.0015061742311658869,0.02789895539689286,0.7,COMPLETE
12,0.8962337304631329,2024-02-18 19:24:02.400121,2024-02-18 19:30:12.811342,0 days 00:06:10.411221,0.9,0.006,100,78,65,997,0.0067413104103595965,0.003911285283615581,0.7,COMPLETE
13,0.8944968980672802,2024-02-18 19:30:12.812381,2024-02-18 19:32:28.532368,0 days 00:02:15.719987,0.8,0.017,10,3,69,3,0.007480061613403,0.05258922851562218,0.7,COMPLETE
14,0.8861375075392155,2024-02-18 19:32:28.534350,2024-02-18 19:34:55.444120,0 days 00:02:26.909770,0.8,0.017,10,6,77,62,0.00796783969524977,0.245372449918111,1.0,COMPLETE
15,0.8950614786352117,2024-02-18 19:34:55.444987,2024-02-18 19:37:06.049645,0 days 00:02:10.604658,1.0,0.017,10,37,79,591,0.009936885970223895,0.2909069682566907,1.0,COMPLETE
16,0.902033224153023,2024-02-18 19:37:06.053636,2024-02-18 19:39:12.931029,0 days 00:02:06.877393,0.8,0.014,10,111,98,17,0.1503530018031343,0.5253664371400398,1.0,COMPLETE
