number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_data_per_groups,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9439634192168479,2024-02-18 13:33:09.033545,2024-02-18 13:39:33.779306,0 days 00:06:24.745761,0.7,0.008,20,272,13,952,0.021844227932554982,0.008578150455581048,0.8,COMPLETE
1,0.9370510065588329,2024-02-18 13:39:33.782005,2024-02-18 13:43:04.480555,0 days 00:03:30.698550,0.4,0.02,100,175,27,978,0.3235427909317964,0.43410770787551445,0.6,COMPLETE
2,0.9082564073040347,2024-02-18 13:43:04.482449,2024-02-18 13:47:25.144526,0 days 00:04:20.662077,0.6,0.01,10,100,43,953,0.014845731001629272,3.191151561828026,1.0,COMPLETE
3,0.9210034874918616,2024-02-18 13:47:25.146935,2024-02-18 13:51:28.395910,0 days 00:04:03.248975,0.5,0.017,20,58,19,838,0.08567271009828263,0.003339181910694135,0.5,COMPLETE
4,0.9043095449792685,2024-02-18 13:51:28.396900,2024-02-18 13:54:06.103182,0 days 00:02:37.706282,0.9,0.02,100,114,63,893,2.159241471926461,0.020746159614997543,1.0,COMPLETE
5,1.0047990774843183,2024-02-18 13:54:06.104210,2024-02-18 14:07:43.238829,0 days 00:13:37.134619,0.3,0.008,20,102,28,541,0.0010631597071428954,5.335106992346156,0.6,COMPLETE
6,0.9470877188545582,2024-02-18 14:07:43.241330,2024-02-18 14:12:30.462491,0 days 00:04:47.221161,0.4,0.02,100,47,10,723,0.12105695960443578,0.003369507841041626,0.8,COMPLETE
7,0.9082230663488137,2024-02-18 14:12:30.463455,2024-02-18 14:19:38.594014,0 days 00:07:08.130559,0.7,0.006,100,113,56,959,0.004151325260079019,0.38536470595274186,1.0,COMPLETE
8,0.8984697149745071,2024-02-18 14:19:38.594913,2024-02-18 14:26:13.672283,0 days 00:06:35.077370,0.7,0.006,10,45,34,257,0.13115490350321277,0.33678831513169327,0.6,COMPLETE
9,0.9199457856088145,2024-02-18 14:26:13.673472,2024-02-18 14:29:51.740309,0 days 00:03:38.066837,0.9,0.01,10,206,32,632,0.00683210059795101,0.05936116055658871,1.0,COMPLETE
